speculative_tokens,draft_model,target_model,input_tokens,output_tokens,ttft_sec(s),tbt_sec_per_token(s),total_latency_sec(s),prompt
2,facebook/opt-125m,facebook/opt-6.7b,14,90,31.1127398014,1.32e-08,31.1127409935,Explain the history and future of artificial general intelligence in detail.
2,facebook/opt-125m,facebook/opt-6.7b,18,512,5.4869542122,1.16e-08,5.4869601727,"Describe the evolution of deep learning models from 2010 to today, including major milestones."
2,facebook/opt-125m,facebook/opt-6.7b,19,6,0.1080389023,1.2716e-06,0.1080465317,"Write a detailed summary of how neural networks are trained, including optimizers and loss functions."
2,facebook/opt-125m,facebook/opt-6.7b,20,125,1.6033160686,1.53e-08,1.603317976,"Explain the full pipeline of deploying a large language model in production, from training to inference."
2,facebook/opt-125m,facebook/opt-6.7b,17,512,5.7012517452,6.5e-09,5.7012550831,Give a comprehensive overview of transformers and how they revolutionized natural language processing.
2,facebook/opt-125m,facebook/opt-6.7b,16,54,0.6892735958,1.545e-07,0.6892819405,Discuss the ethical implications of using AI in healthcare with examples and mitigation strategies.
2,facebook/opt-125m,facebook/opt-6.7b,14,512,6.1995995045,9.8e-09,6.1996045113,"Describe how reinforcement learning works, including examples and mathematical formulations."
2,facebook/opt-125m,facebook/opt-6.7b,21,85,1.2244040966,9.26e-08,1.2244119644,"Write a long essay on the societal impacts of large-scale AI deployment, both positive and negative."
2,facebook/opt-125m,facebook/opt-6.7b,19,224,3.0292315483,1.7e-08,3.029235363,"Explain how multimodal models work and what challenges they solve, with technical depth."
2,facebook/opt-125m,facebook/opt-6.7b,21,512,5.5610136986,9.8e-09,5.5610187054,Provide an end-to-end explanation of how search engines rank web pages using machine learning.
4,facebook/opt-125m,facebook/opt-6.7b,14,18,0.1813218594,9.139e-07,0.1813383102,Explain the history and future of artificial general intelligence in detail.
4,facebook/opt-125m,facebook/opt-6.7b,18,245,2.9209518433,1.17e-08,2.9209547043,"Describe the evolution of deep learning models from 2010 to today, including major milestones."
4,facebook/opt-125m,facebook/opt-6.7b,19,512,4.4476983547,1.07e-08,4.4477038383,"Write a detailed summary of how neural networks are trained, including optimizers and loss functions."
4,facebook/opt-125m,facebook/opt-6.7b,20,512,5.8177206516,1.21e-08,5.8177268505,"Explain the full pipeline of deploying a large language model in production, from training to inference."
4,facebook/opt-125m,facebook/opt-6.7b,17,512,5.2681009769,2.1e-08,5.2681117058,Give a comprehensive overview of transformers and how they revolutionized natural language processing.
4,facebook/opt-125m,facebook/opt-6.7b,16,23,0.2010095119,4.146e-07,0.2010190487,Discuss the ethical implications of using AI in healthcare with examples and mitigation strategies.
4,facebook/opt-125m,facebook/opt-6.7b,14,92,0.8084414005,2.85e-08,0.8084440231,"Describe how reinforcement learning works, including examples and mathematical formulations."
4,facebook/opt-125m,facebook/opt-6.7b,21,47,0.4895899296,8.62e-08,0.4895939827,"Write a long essay on the societal impacts of large-scale AI deployment, both positive and negative."
4,facebook/opt-125m,facebook/opt-6.7b,19,512,4.0001659393,6.5e-09,4.0001692772,"Explain how multimodal models work and what challenges they solve, with technical depth."
4,facebook/opt-125m,facebook/opt-6.7b,21,512,5.9633293152,1.21e-08,5.9633355141,Provide an end-to-end explanation of how search engines rank web pages using machine learning.
8,facebook/opt-125m,facebook/opt-6.7b,14,512,5.2576453686,3.73e-08,5.2576644421,Explain the history and future of artificial general intelligence in detail.
8,facebook/opt-125m,facebook/opt-6.7b,18,512,5.511516571,1.72e-08,5.5115253925,"Describe the evolution of deep learning models from 2010 to today, including major milestones."
